,basin_name,date,rig_count
1944,Cana Woodford,2014-02-21,37
1945,Cana Woodford,2014-02-28,36
1946,Cana Woodford,2014-03-07,35
1947,Cana Woodford,2014-03-14,35
1948,Cana Woodford,2014-03-21,32
1949,Cana Woodford,2014-03-28,30
1950,Cana Woodford,2014-04-04,31
1951,Cana Woodford,2014-04-11,31
1952,Cana Woodford,2014-04-17,22
1953,Cana Woodford,2014-04-25,23
1954,Cana Woodford,2014-05-02,24
1955,Cana Woodford,2014-05-09,23
1956,Cana Woodford,2014-05-16,23
1957,Cana Woodford,2014-05-23,24
1958,Cana Woodford,2014-05-30,25
1959,Cana Woodford,2014-06-06,23
1960,Cana Woodford,2014-06-13,26
1961,Cana Woodford,2014-06-20,26
1962,Cana Woodford,2014-06-27,26
1963,Cana Woodford,2014-07-03,26
1964,Cana Woodford,2014-07-11,27
1965,Cana Woodford,2014-07-18,30
1966,Cana Woodford,2014-07-25,31
1967,Cana Woodford,2014-08-01,32
1968,Cana Woodford,2014-08-08,32
1969,Cana Woodford,2014-08-15,34
1970,Cana Woodford,2014-08-22,33
1971,Cana Woodford,2014-08-29,34
1972,Cana Woodford,2014-09-05,37
1973,Cana Woodford,2014-09-12,36
1974,Cana Woodford,2014-09-19,38
1975,Cana Woodford,2014-09-26,38
1976,Cana Woodford,2014-10-03,42
1977,Cana Woodford,2014-10-10,37
1978,Cana Woodford,2014-10-17,38
1979,Cana Woodford,2014-10-24,37
1980,Cana Woodford,2014-10-31,38
1981,Cana Woodford,2014-11-07,39
1982,Cana Woodford,2014-11-14,34
1983,Cana Woodford,2014-11-21,41
1984,Cana Woodford,2014-11-26,45
1985,Cana Woodford,2014-12-05,43
1986,Cana Woodford,2014-12-12,43
1987,Cana Woodford,2014-12-19,45
1988,Cana Woodford,2014-12-26,48
1989,Cana Woodford,2015-01-02,45
1990,Cana Woodford,2015-01-09,45
1991,Cana Woodford,2015-01-16,41
1992,Cana Woodford,2015-01-23,44
1993,Cana Woodford,2015-01-30,40
1994,Cana Woodford,2015-02-06,43
1995,Cana Woodford,2015-02-13,43
1996,Cana Woodford,2015-02-20,43
1997,Cana Woodford,2015-02-27,39
1998,Cana Woodford,2015-03-06,37
1999,Cana Woodford,2015-03-13,40
2000,Cana Woodford,2015-03-20,40
2001,Cana Woodford,2015-03-27,40
2002,Cana Woodford,2015-04-02,40
2003,Cana Woodford,2015-04-10,38
2004,Cana Woodford,2015-04-17,40
2005,Cana Woodford,2015-04-24,41
2006,Cana Woodford,2015-05-01,38
2007,Cana Woodford,2015-05-08,35
2008,Cana Woodford,2015-05-15,35
2009,Cana Woodford,2015-05-22,34
2010,Cana Woodford,2015-05-29,34
2011,Cana Woodford,2015-06-05,33
2012,Cana Woodford,2015-06-12,33
2013,Cana Woodford,2015-06-19,32
2014,Cana Woodford,2015-06-26,33
2015,Cana Woodford,2015-07-02,34
2016,Cana Woodford,2015-07-10,33
2017,Cana Woodford,2015-07-17,31
2018,Cana Woodford,2015-07-24,33
2019,Cana Woodford,2015-07-31,37
2020,Cana Woodford,2015-08-07,36
2021,Cana Woodford,2015-08-14,37
2022,Cana Woodford,2015-08-21,39
2023,Cana Woodford,2015-08-28,40
2024,Cana Woodford,2015-09-04,39
2025,Cana Woodford,2015-09-11,38
2026,Cana Woodford,2015-09-18,40
2027,Cana Woodford,2015-09-25,40
2028,Cana Woodford,2015-10-02,37
2029,Cana Woodford,2015-10-09,37
2030,Cana Woodford,2015-10-16,36
2031,Cana Woodford,2015-10-23,36
2032,Cana Woodford,2015-10-30,36
2033,Cana Woodford,2015-11-06,32
2034,Cana Woodford,2015-11-13,32
2035,Cana Woodford,2015-11-20,34
2036,Cana Woodford,2015-11-25,34
2037,Cana Woodford,2015-12-04,35
2038,Cana Woodford,2015-12-11,37
2039,Cana Woodford,2015-12-18,38
2040,Cana Woodford,2015-12-23,39
2041,Cana Woodford,2015-12-31,38
2042,Cana Woodford,2016-01-08,36
2043,Cana Woodford,2016-01-15,37
2044,Cana Woodford,2016-01-22,39
2045,Cana Woodford,2016-01-29,39
2046,Cana Woodford,2016-02-05,37
2047,Cana Woodford,2016-02-12,34
2048,Cana Woodford,2016-02-19,33
2049,Cana Woodford,2016-02-26,36
2050,Cana Woodford,2016-03-04,37
2051,Cana Woodford,2016-03-11,37
2052,Cana Woodford,2016-03-18,34
2053,Cana Woodford,2016-03-24,31
2054,Cana Woodford,2016-04-01,30
2055,Cana Woodford,2016-04-08,32
2056,Cana Woodford,2016-04-15,30
2057,Cana Woodford,2016-04-22,29
2058,Cana Woodford,2016-04-29,27
2059,Cana Woodford,2016-05-06,27
2060,Cana Woodford,2016-05-13,27
2061,Cana Woodford,2016-05-20,29
2062,Cana Woodford,2016-05-27,28
2063,Cana Woodford,2016-06-03,26
2064,Cana Woodford,2016-06-10,24
2065,Cana Woodford,2016-06-17,27
2066,Cana Woodford,2016-06-24,24
2067,Cana Woodford,2016-07-01,26
2068,Cana Woodford,2016-07-08,28
2069,Cana Woodford,2016-07-15,29
2070,Cana Woodford,2016-07-22,28
2071,Cana Woodford,2016-07-29,29
2072,Cana Woodford,2016-08-05,29
2073,Cana Woodford,2016-08-12,29
2074,Cana Woodford,2016-08-19,32
2075,Cana Woodford,2016-08-26,32
2076,Cana Woodford,2016-09-02,32
2077,Cana Woodford,2016-09-09,31
2078,Cana Woodford,2016-09-16,32
2079,Cana Woodford,2016-09-23,33
2080,Cana Woodford,2016-09-30,35
2081,Cana Woodford,2016-10-07,35
2082,Cana Woodford,2016-10-14,39
2083,Cana Woodford,2016-10-21,39
2084,Cana Woodford,2016-10-28,41
2085,Cana Woodford,2016-11-04,41
2086,Cana Woodford,2016-11-11,40
2087,Cana Woodford,2016-11-18,40
2088,Cana Woodford,2016-11-23,38
2089,Cana Woodford,2016-12-02,39
2090,Cana Woodford,2016-12-09,37
2091,Cana Woodford,2016-12-16,34
2092,Cana Woodford,2016-12-23,36
2093,Cana Woodford,2016-12-30,37
2094,Cana Woodford,2017-01-06,37
2095,Cana Woodford,2017-01-13,37
2096,Cana Woodford,2017-01-20,46
2097,Cana Woodford,2017-01-27,49
2098,Cana Woodford,2017-02-03,56
2099,Cana Woodford,2017-02-10,51
2100,Cana Woodford,2017-02-17,49
