month,us_oil_consumption
1963-01-01,12294
1963-02-01,11940
1963-03-01,10240
1963-04-01,9794
1963-05-01,9805
1963-06-01,9586
1963-07-01,9943
1963-08-01,10135
1963-09-01,9965
1963-10-01,10121
1963-11-01,10426
1963-12-01,12423
1964-01-01,12175
1964-02-01,11370
1964-03-01,10709
1964-04-01,10632
1964-05-01,9766
1964-06-01,10439
1964-07-01,10279
1964-08-01,10040
1964-09-01,10483
1964-10-01,10800
1964-11-01,10640
1964-12-01,12455
1965-01-01,12017
1965-02-01,12307
1965-03-01,11971
1965-04-01,11151
1965-05-01,10232
1965-06-01,10713
1965-07-01,10523
1965-08-01,10666
1965-09-01,10650
1965-10-01,10971
1965-11-01,11566
1965-12-01,12925
1966-01-01,12569
1966-02-01,13010
1966-03-01,12060
1966-04-01,11501
1966-05-01,10900
1966-06-01,11669
1966-07-01,10826
1966-08-01,11515
1966-09-01,11236
1966-10-01,11432
1966-11-01,12396
1966-12-01,13173
1967-01-01,12871
1967-02-01,13232
1967-03-01,13083
1967-04-01,11353
1967-05-01,11736
1967-06-01,11794
1967-07-01,11337
1967-08-01,11790
1967-09-01,11329
1967-10-01,12292
1967-11-01,13300
1967-12-01,13260
1968-01-01,15325
1968-02-01,14714
1968-03-01,13378
1968-04-01,12617
1968-05-01,12274
1968-06-01,12462
1968-07-01,12646
1968-08-01,12766
1968-09-01,12599
1968-10-01,13249
1968-11-01,13665
1968-12-01,15034
1969-01-01,15932
1969-02-01,15099
1969-03-01,14187
1969-04-01,13490
1969-05-01,13015
1969-06-01,13094
1969-07-01,13305
1969-08-01,13389
1969-09-01,13787
1969-10-01,13821
1969-11-01,14352
1969-12-01,16206
1970-01-01,16859
1970-02-01,16168
1970-03-01,15346
1970-04-01,14018
1970-05-01,13175
1970-06-01,13921
1970-07-01,13963
1970-08-01,13930
1970-09-01,13856
1970-10-01,14285
1970-11-01,14522
1970-12-01,16388
1971-01-01,16466
1971-02-01,16681
1971-03-01,15724
1971-04-01,14929
1971-05-01,13677
1971-06-01,14632
1971-07-01,14176
1971-08-01,14237
1971-09-01,14494
1971-10-01,14504
1971-11-01,15954
1971-12-01,17192
1972-01-01,16735
1972-02-01,17861
1972-03-01,16870
1972-04-01,15529
1972-05-01,14801
1972-06-01,15615
1972-07-01,14821
1972-08-01,15936
1972-09-01,15489
1972-10-01,16455
1972-11-01,17610
1972-12-01,18738
1973-01-01,18712
1973-02-01,19094
1973-03-01,17216
1973-04-01,15920
1973-05-01,16625
1973-06-01,16481
1973-07-01,16372
1973-08-01,17498
1973-09-01,16656
1973-10-01,17202
1973-11-01,18492
1973-12-01,17538
1974-01-01,17285
1974-02-01,17365
1974-03-01,16103
1974-04-01,15928
1974-05-01,15725
1974-06-01,16117
1974-07-01,16348
1974-08-01,16549
1974-09-01,16023
1974-10-01,17050
1974-11-01,17351
1974-12-01,18012
1975-01-01,18003
1975-02-01,17084
1975-03-01,16315
1975-04-01,16048
1975-05-01,15155
1975-06-01,15610
1975-07-01,15739
1975-08-01,15806
1975-09-01,15767
1975-10-01,16376
1975-11-01,15777
1975-12-01,18185
1976-01-01,18646
1976-02-01,17509
1976-03-01,17302
1976-04-01,16671
1976-05-01,15977
1976-06-01,16824
1976-07-01,16606
1976-08-01,16642
1976-09-01,16836
1976-10-01,17090
1976-11-01,18846
1976-12-01,20559
1977-01-01,20504
1977-02-01,20481
1977-03-01,18123
1977-04-01,17579
1977-05-01,16972
1977-06-01,18043
1977-07-01,17567
1977-08-01,18011
1977-09-01,17714
1977-10-01,17824
1977-11-01,18437
1977-12-01,20051
1978-01-01,19752
1978-02-01,20900
1978-03-01,19652
1978-04-01,17747
1978-05-01,18230
1978-06-01,18259
1978-07-01,17633
1978-08-01,18638
1978-09-01,17953
1978-10-01,18417
1978-11-01,19156
1978-12-01,19944
1979-01-01,20585
1979-02-01,21287
1979-03-01,19321
1979-04-01,17434
1979-05-01,17800
1979-06-01,17785
1979-07-01,17143
1979-08-01,18148
1979-09-01,17399
1979-10-01,18175
1979-11-01,18312
1979-12-01,18921
1980-01-01,18851
1980-02-01,18817
1980-03-01,17376
1980-04-01,16784
1980-05-01,16237
1980-06-01,16187
1980-07-01,16007
1980-08-01,15752
1980-09-01,16598
1980-10-01,16994
1980-11-01,16702
1980-12-01,18410
1981-01-01,18429
1981-02-01,16988
1981-03-01,15906
1981-04-01,15349
1981-05-01,15353
1981-06-01,16094
1981-07-01,15682
1981-08-01,15262
1981-09-01,15654
1981-10-01,15821
1981-11-01,15592
1981-12-01,16596
1982-01-01,16122
1982-02-01,16001
1982-03-01,15560
1982-04-01,16046
1982-05-01,14846
1982-06-01,14998
1982-07-01,14820
1982-08-01,14839
1982-09-01,15021
1982-10-01,14858
1982-11-01,15009
1982-12-01,15487
1983-01-01,14722
1983-02-01,14791
1983-03-01,15540
1983-04-01,14692
1983-05-01,14504
1983-06-01,15288
1983-07-01,15018
1983-08-01,15480
1983-09-01,15505
1983-10-01,14962
1983-11-01,15499
1983-12-01,16725
1984-01-01,16800
1984-02-01,15437
1984-03-01,16050
1984-04-01,15568
1984-05-01,15619
1984-06-01,15708
1984-07-01,15497
1984-08-01,16116
1984-09-01,15247
1984-10-01,15616
1984-11-01,15626
1984-12-01,15375
1985-01-01,16109
1985-02-01,16121
1985-03-01,15372
1985-04-01,15471
1985-05-01,15503
1985-06-01,15482
1985-07-01,15433
1985-08-01,16060
1985-09-01,15098
1985-10-01,15943
1985-11-01,15502
1985-12-01,16611
1986-01-01,16087
1986-02-01,16186
1986-03-01,16276
1986-04-01,15944
1986-05-01,15993
1986-06-01,16049
1986-07-01,16306
1986-08-01,16618
1986-09-01,15908
1986-10-01,16602
1986-11-01,16221
1986-12-01,17130
1987-01-01,16684
1987-02-01,16908
1987-03-01,16164
1987-04-01,16523
1987-05-01,16026
1987-06-01,16829
1987-07-01,17112
1987-08-01,16346
1987-09-01,16669
1987-10-01,16941
1987-11-01,16342
1987-12-01,17444
1988-01-01,17402
1988-02-01,17759
1988-03-01,17611
1988-04-01,16560
1988-05-01,16196
1988-06-01,17059
1988-07-01,16694
1988-08-01,17482
1988-09-01,17071
1988-10-01,17579
1988-11-01,17619
1988-12-01,18365
1989-01-01,17268
1989-02-01,17919
1989-03-01,17989
1989-04-01,16623
1989-05-01,16546
1989-06-01,17496
1989-07-01,16452
1989-08-01,17360
1989-09-01,16794
1989-10-01,17303
1989-11-01,17311
1989-12-01,18857
1990-01-01,16963
1990-02-01,17174
1990-03-01,17087
1990-04-01,16778
1990-05-01,16914
1990-06-01,17165
1990-07-01,17083
1990-08-01,18050
1990-09-01,16512
1990-10-01,16934
1990-11-01,16694
1990-12-01,16494
1991-01-01,16892
1991-02-01,16338
1991-03-01,16212
1991-04-01,16138
1991-05-01,16189
1991-06-01,16877
1991-07-01,16970
1991-08-01,17183
1991-09-01,16847
1991-10-01,16995
1991-11-01,16730
1991-12-01,17144
1992-01-01,17012
1992-02-01,16892
1992-03-01,16824
1992-04-01,16764
1992-05-01,16485
1992-06-01,16978
1992-07-01,17143
1992-08-01,16928
1992-09-01,16875
1992-10-01,17448
1992-11-01,17091
1992-12-01,17927
1993-01-01,16173
1993-02-01,17334
1993-03-01,17575
1993-04-01,16781
1993-05-01,16508
1993-06-01,17096
1993-07-01,17357
1993-08-01,17332
1993-09-01,17650
1993-10-01,17323
1993-11-01,17780
1993-12-01,17953
1994-01-01,18072
1994-02-01,18337
1994-03-01,17313
1994-04-01,17489
1994-05-01,17181
1994-06-01,17815
1994-07-01,17485
1994-08-01,18117
1994-09-01,17490
1994-10-01,17719
1994-11-01,17315
1994-12-01,18319
1995-01-01,17219
1995-02-01,18279
1995-03-01,17484
1995-04-01,17142
1995-05-01,17293
1995-06-01,18131
1995-07-01,17147
1995-08-01,18044
1995-09-01,18026
1995-10-01,17651
1995-11-01,17979
1995-12-01,18366
1996-01-01,18261
1996-02-01,18620
1996-03-01,18301
1996-04-01,17885
1996-05-01,17957
1996-06-01,18107
1996-07-01,18211
1996-08-01,18658
1996-09-01,17655
1996-10-01,19171
1996-11-01,18535
1996-12-01,18334
1997-01-01,18554
1997-02-01,18398
1997-03-01,17863
1997-04-01,18559
1997-05-01,18293
1997-06-01,18617
1997-07-01,19107
1997-08-01,18565
1997-09-01,18562
1997-10-01,19071
1997-11-01,18578
1997-12-01,19250
1998-01-01,18362
1998-02-01,18316
1998-03-01,18685
1998-04-01,19044
1998-05-01,18375
1998-06-01,19182
1998-07-01,19466
1998-08-01,19347
1998-09-01,18895
1998-10-01,19188
1998-11-01,18673
1998-12-01,19419
1999-01-01,19029
1999-02-01,19107
1999-03-01,19497
1999-04-01,19152
1999-05-01,18705
1999-06-01,19836
1999-07-01,19820
1999-08-01,20093
1999-09-01,19483
1999-10-01,19868
1999-11-01,19087
1999-12-01,20498
2000-01-01,19026
2000-02-01,19635
2000-03-01,19218
2000-04-01,18816
2000-05-01,19605
2000-06-01,20054
2000-07-01,19696
2000-08-01,20496
2000-09-01,19899
2000-10-01,19798
2000-11-01,19328
2000-12-01,20814
2022-01-01,20092
2022-02-01,19689
2022-03-01,19876
2022-04-01,19729
2022-05-01,19501
2022-06-01,19561
2022-07-01,19919
2022-08-01,20153
2022-09-01,19016
2022-10-01,19824
2022-11-01,19396
2022-12-01,19003
2022-01-02,19454
2022-02-02,19444
2022-03-02,19676
2022-04-02,19552
2022-05-02,19728
2022-06-02,19875
2022-07-02,20076
2022-08-02,20221
2022-09-02,19461
2022-10-02,19678
2022-11-02,19991
2022-12-02,19943
2022-01-03,20017
2022-02-03,20375
2022-03-03,19708
2022-04-03,19830
2022-05-03,19344
2022-06-03,19793
2022-07-03,20094
2022-08-03,20586
2022-09-03,19933
2022-10-03,20182
2022-11-03,19873
2022-12-03,20679
2022-01-04,20479
2022-02-04,20872
2022-03-04,20453
2022-04-04,20545
2022-05-04,20313
2022-06-04,20780
2022-07-04,20880
2022-08-04,21028
2022-09-04,20529
2022-10-04,20861
2022-11-04,20805
2022-12-04,21229
2022-01-05,20694
2022-02-05,20830
2022-03-05,21009
2022-04-05,20137
2022-05-05,20606
2022-06-05,21198
2022-07-05,20939
2022-08-05,21666
2022-09-05,20142
2022-10-05,20253
2022-11-05,20623
2022-12-05,21495
2022-01-06,20436
2022-02-06,20577
2022-03-06,20608
2022-04-06,20201
2022-05-06,20457
2022-06-06,20982
2022-07-06,20740
2022-08-06,21434
2022-09-06,20559
2022-10-06,20769
2022-11-06,20669
2022-12-06,20795
2022-01-07,20567
2022-02-07,21309
2022-03-07,20536
2022-04-07,20536
2022-05-07,20620
2022-06-07,20723
2022-07-07,20747
2022-08-07,21025
2022-09-07,20415
2022-10-07,20476
2022-11-07,20535
2022-12-07,20719
2022-01-08,20247
2022-02-08,20029
2022-03-08,19831
2022-04-08,19815
2022-05-08,19798
2022-06-08,19678
2022-07-08,19557
2022-08-08,19272
2022-09-08,17839
2022-10-08,19698
2022-11-08,19052
2022-12-08,19142
2022-01-09,19040
2022-02-09,18822
2022-03-09,18719
2022-04-09,18672
2022-05-09,18211
2022-06-09,18828
2022-07-09,18626
2022-08-09,18949
2022-09-09,18594
2022-10-09,18803
2022-11-09,18753
2022-12-09,19237
2022-01-10,18649
2022-02-10,18831
2022-03-10,19080
2022-04-10,19066
2022-05-10,18874
2022-06-10,19562
2022-07-10,19291
2022-08-10,19663
2022-09-10,19465
2022-10-10,18928
2022-11-10,18965
2022-12-10,19733
2022-01-11,18934
2022-02-11,18817
2022-03-11,19189
2022-04-11,18582
2022-05-11,18429
2022-06-11,19187
2022-07-11,18710
2022-08-11,19363
2022-09-11,18887
2022-10-11,18817
2022-11-11,19059
2022-12-11,18769
2022-01-12,18299
2022-02-12,18622
2022-03-12,18130
2022-04-12,18163
2022-05-12,18575
2022-06-12,18873
2022-07-12,18540
2022-08-12,19140
2022-09-12,18081
2022-10-12,18708
2022-11-12,18528
2022-12-12,18130
2022-01-13,18736
2022-02-13,18654
2022-03-13,18547
2022-04-13,18594
2022-05-13,18733
2022-06-13,18816
2022-07-13,19260
2022-08-13,19140
2022-09-13,19282
2022-10-13,19323
2022-11-13,19488
2022-12-13,19006
2022-01-14,19103
2022-02-14,18905
2022-03-14,18452
2022-04-14,18834
2022-05-14,18601
2022-06-14,18878
2022-07-14,19247
2022-08-14,19372
2022-09-14,19204
2022-10-14,19701
2022-11-14,19394
2022-12-14,19494
2022-01-15,19273
2022-02-15,19674
2022-03-15,19349
2022-04-15,19261
2022-05-15,19322
2022-06-15,19846
2022-07-15,20119
2022-08-15,19927
2022-09-15,19436
2022-10-15,19470
2022-11-15,19105
2022-12-15,19596
2022-01-16,19063
2022-02-16,19841
2022-03-16,19753
2022-04-16,19346
2022-05-16,19326
2022-06-16,19832
2022-07-16,19754
2022-08-16,20262
2022-09-16,19775
2022-10-16,19684
2022-11-16,19686
2022-12-16,19986
2022-01-17,19290
2022-02-17,19146
2022-03-17,20057
2022-04-17,19621
2022-05-17,20047
2022-06-17,20565
2022-07-17,20125
2022-08-17,20274
2022-09-17,19629
2022-10-17,19971
2022-11-17,20310
2022-12-17,20319
2022-01-18,20564
2022-02-18,19693
2022-03-18,20731
2022-04-18,20038
2022-05-18,20251
2022-06-18,20770
2022-07-18,20671
2022-08-18,21356
2022-09-18,20084
2022-10-18,20786
2022-11-18,20774
2022-12-18,20327
2022-01-19,20615
2022-02-19,20284
2022-03-19,20176
2022-04-19,20333
2022-05-19,20387
2022-06-19,20654
2022-07-19,20735
2022-08-19,21158
2022-09-19,20248
2022-10-19,20714
2022-11-19,20736
2022-12-19,20443
2022-01-20,19933
2022-02-20,20132
2022-03-20,18463
2022-04-20,14549
2022-05-20,16078
2022-06-20,17578
2022-07-20,18381
2022-08-20,18558
2022-09-20,18415
2022-10-20,18614
2022-11-20,18743
2022-12-20,18802
2022-01-21,18595
2022-02-21,17444
2022-03-21,19204
2022-04-21,19459
2022-05-21,20094
2022-06-21,20537
2022-07-21,19894
2022-08-21,20511
2022-09-21,20224
2022-10-21,19892
2022-11-21,20595
2022-12-21,20764
2022-01-22,19731
2022-02-22,20436
2022-03-22,20512
2022-04-22,19957
