Date,oil_price
2-Feb,18.43
2-Mar,22
2-Apr,24.1
2-May,25.03
2-Jun,24.05
2-Jul,25.16
2-Aug,26.19
2-Sep,27.66
2-Oct,26.7
2-Nov,24.6
2-Dec,26.93
3-Jan,30.52
3-Feb,33
3-Mar,30.65
3-Apr,26.02
3-May,25.74
3-Jun,27.92
3-Jul,28.55
3-Aug,29.15
3-Sep,26.39
3-Oct,27.75
3-Nov,28.28
3-Dec,29.28
4-Jan,30.93
4-Feb,31.72
4-Mar,33.1
4-Apr,33.47
4-May,36.32
4-Jun,34.59
4-Jul,36.68
4-Aug,40.3
4-Sep,41.35
4-Oct,46.13
4-Nov,41.77
4-Dec,36.6
5-Jan,39.01
5-Feb,41.05
5-Mar,46.78
5-Apr,46.71
5-May,44.84
5-Jun,50.3
5-Jul,53.83
5-Aug,59.3
5-Sep,60.18
5-Oct,57.18
5-Nov,52.13
5-Dec,52.51
6-Jan,57.33
6-Feb,54.82
6-Mar,56.38
6-Apr,62.98
6-May,65.34
6-Jun,65.13
6-Jul,68.86
6-Aug,67.77
6-Sep,58.92
6-Oct,54.04
6-Nov,53.61
6-Dec,55.98
7-Jan,50.77
7-Feb,54.45
7-Mar,56.84
7-Apr,60.68
7-May,61.71
7-Jun,65.14
7-Jul,71.24
7-Aug,69.46
7-Sep,73.54
7-Oct,79.87
7-Nov,86.78
7-Dec,85.29
8-Jan,86.48
8-Feb,89.09
8-Mar,97.96
8-Apr,106.09
8-May,117.64
8-Jun,127.32
8-Jul,129.03
8-Aug,113.74
8-Sep,98.91
8-Oct,74.22
8-Nov,53.33
8-Dec,37.67
9-Jan,37.45
9-Feb,38.15
9-Mar,45.57
9-Apr,48.78
9-May,55.96
9-Jun,65.72
9-Jul,63.58
9-Aug,67.99
9-Sep,67.74
9-Oct,72.08
9-Nov,74.48
9-Dec,72.95
10-Jan,75.48
10-Feb,74.58
10-Mar,77.43
10-Apr,80.83
10-May,72.66
10-Jun,72.66
10-Jul,73.73
10-Aug,74.58
10-Sep,73.85
10-Oct,77.76
10-Nov,80.85
10-Dec,85.95
11-Jan,88.04
11-Feb,90.66
11-Mar,102.43
11-Apr,112.51
11-May,107.84
11-Jun,104.23
11-Jul,104.68
11-Aug,97.7
11-Sep,99.39
11-Oct,100.57
11-Nov,107.28
11-Dec,105.69
12-Jan,104.71
12-Feb,107.18
12-Mar,110.92
12-Apr,109.68
12-May,103.17
12-Jun,91.96
12-Jul,92.84
12-Aug,97.7
12-Sep,101.97
12-Oct,100.02
12-Nov,96.78
12-Dec,95.06
13-Jan,100.78
13-Feb,101.45
13-Mar,101.23
13-Apr,99.5
13-May,100.17
13-Jun,98.67
13-Jul,103.85
13-Aug,106.2
13-Sep,105.7
13-Oct,100.41
13-Nov,93.32
13-Dec,94.32
14-Jan,93.58
14-Feb,99.36
14-Mar,100.09
14-Apr,100.15
14-May,100.61
14-Jun,102.51
14-Jul,101.22
14-Aug,95.61
14-Sep,92.26
14-Oct,84.99
14-Nov,75.66
14-Dec,60.7
15-Jan,47
15-Feb,48.92
15-Mar,47.99
15-Apr,53.51
15-May,58.65
15-Jun,60.12
15-Jul,53.4
15-Aug,44.97
15-Sep,44.38
15-Oct,44.77
15-Nov,41.43
15-Dec,35.63
16-Jan,29.99
16-Feb,28.53
16-Mar,33.82
16-Apr,37.71
16-May,42.88
16-Jun,45.96
16-Jul,43.26
16-Aug,42.7
16-Sep,42.73
16-Oct,46.85
16-Nov,44.06
16-Dec,48.66
17-Jan,49.99
17-Feb,51.24
17-Mar,48.65
17-Apr,49.47
17-May,48.47
17-Jun,45.25
17-Jul,46.27
17-Aug,48.22
17-Sep,50.78
17-Oct,52.67
17-Nov,57.75
17-Dec,59.53
18-Jan,63.25
18-Feb,61.74
18-Mar,60.81
18-Apr,64.41
18-May,68.91
18-Jun,68.35
18-Jul,70.29
18-Aug,67.68
18-Sep,69.29
18-Oct,70.99
18-Nov,59.01
18-Dec,48.83
19-Jan,52.29
19-Feb,57.62
19-Mar,61.64
19-Apr,66.51
19-May,65.11
19-Jun,59.16
19-Jul,60.53
19-Aug,56.9
19-Sep,58.6
19-Oct,55.85
19-Nov,57.88
19-Dec,60.27
20-Jan,57.92
20-Feb,51.37
20-Mar,32.55
20-Apr,19.32
20-May,23.55
20-Jun,36.8
20-Jul,40.08
20-Aug,42.42
20-Sep,39.81
20-Oct,39.21
20-Nov,40.68
20-Dec,46.2
21-Jan,51.36
21-Feb,58.39
21-Mar,61.96
21-Apr,62.39
21-May,65.15
21-Jun,70.54
21-Jul,71.97
21-Aug,67.87
21-Sep,71.09
21-Oct,78.88
21-Nov,78.35
21-Dec,73.81
