,basins,period,value,size
71,GOM&AK,2017-05-01,46,0.46
125,GOM&AK,2017-04-01,45,0.45
131,GOM&AK,2017-04-01,514,5.14
148,GOM&AK,2017-04-01,5667,56.67
311,GOM&AK,2017-02-01,501,5.01
312,GOM&AK,2017-02-01,1754,17.54
345,GOM&AK,2017-01-01,5,0.05
369,GOM&AK,2017-01-01,14,0.14
410,GOM&AK,2017-01-01,1019,10.19
459,GOM&AK,2016-12-01,5557,55.57
462,GOM&AK,2016-12-01,42,0.42
568,GOM&AK,2016-11-01,16,0.16
612,GOM&AK,2016-10-01,5,0.05
630,GOM&AK,2016-10-01,496,4.96
658,GOM&AK,2016-10-01,5417,54.17
664,GOM&AK,2016-10-01,15,0.15
792,GOM&AK,2016-08-01,5393,53.93
903,GOM&AK,2016-07-01,16,0.16
971,GOM&AK,2016-06-01,455,4.55
972,GOM&AK,2016-06-01,17,0.17
987,GOM&AK,2016-06-01,971,9.71
1009,GOM&AK,2016-05-01,1593,15.93
1038,GOM&AK,2016-05-01,15,0.15
1061,GOM&AK,2016-05-01,490,4.9
1066,GOM&AK,2016-05-01,1031,10.31
1080,GOM&AK,2016-05-01,5404,54.04
1087,GOM&AK,2016-05-01,505,5.05
1122,GOM&AK,2016-04-01,16,0.16
1136,GOM&AK,2016-04-01,5454,54.54
1148,GOM&AK,2016-04-01,1023,10.23
1150,GOM&AK,2016-04-01,5,0.05
1182,GOM&AK,2016-03-01,511,5.11
1215,GOM&AK,2016-03-01,6,0.06
1281,GOM&AK,2016-02-01,491,4.91
1309,GOM&AK,2016-02-01,46,0.46
1339,GOM&AK,2016-02-01,17,0.17
1342,GOM&AK,2016-02-01,16,0.16
1356,GOM&AK,2016-01-01,18,0.18
1373,GOM&AK,2016-01-01,6,0.06
1435,GOM&AK,2015-12-01,1605,16.05
1446,GOM&AK,2015-12-01,17,0.17
1464,GOM&AK,2015-12-01,506,5.06
1478,GOM&AK,2015-12-01,5550,55.5
1531,GOM&AK,2015-11-01,1524,15.24
1598,GOM&AK,2015-10-01,5655,56.55
1606,GOM&AK,2015-10-01,479,4.79
1632,GOM&AK,2015-10-01,19,0.19
1697,GOM&AK,2015-09-01,19,0.19
1724,GOM&AK,2015-09-01,1038,10.38
1779,GOM&AK,2015-08-01,5733,57.33
