,basin_name,date,rig_count
151,Ardmore Woodford,2013-12-27,10
152,Ardmore Woodford,2014-01-03,10
153,Ardmore Woodford,2014-01-10,11
154,Ardmore Woodford,2014-01-17,8
155,Ardmore Woodford,2014-01-24,8
156,Ardmore Woodford,2014-01-31,8
157,Ardmore Woodford,2014-02-07,8
158,Ardmore Woodford,2014-02-14,7
159,Ardmore Woodford,2014-02-21,7
160,Ardmore Woodford,2014-02-28,9
161,Ardmore Woodford,2014-03-07,9
162,Ardmore Woodford,2014-03-14,9
163,Ardmore Woodford,2014-03-21,9
164,Ardmore Woodford,2014-03-28,10
165,Ardmore Woodford,2014-04-04,10
166,Ardmore Woodford,2014-04-11,9
167,Ardmore Woodford,2014-04-17,8
168,Ardmore Woodford,2014-04-25,7
169,Ardmore Woodford,2014-05-02,7
170,Ardmore Woodford,2014-05-09,6
171,Ardmore Woodford,2014-05-16,6
172,Ardmore Woodford,2014-05-23,5
173,Ardmore Woodford,2014-05-30,6
174,Ardmore Woodford,2014-06-06,6
175,Ardmore Woodford,2014-06-13,6
176,Ardmore Woodford,2014-06-20,6
177,Ardmore Woodford,2014-06-27,5
178,Ardmore Woodford,2014-07-03,5
179,Ardmore Woodford,2014-07-11,7
180,Ardmore Woodford,2014-07-18,7
181,Ardmore Woodford,2014-07-25,6
182,Ardmore Woodford,2014-08-01,6
183,Ardmore Woodford,2014-08-08,6
184,Ardmore Woodford,2014-08-15,6
185,Ardmore Woodford,2014-08-22,6
186,Ardmore Woodford,2014-08-29,7
187,Ardmore Woodford,2014-09-05,6
188,Ardmore Woodford,2014-09-12,5
189,Ardmore Woodford,2014-09-19,5
190,Ardmore Woodford,2014-09-26,5
191,Ardmore Woodford,2014-10-03,4
192,Ardmore Woodford,2014-10-10,4
193,Ardmore Woodford,2014-10-17,5
194,Ardmore Woodford,2014-10-24,5
195,Ardmore Woodford,2014-10-31,6
196,Ardmore Woodford,2014-11-07,5
197,Ardmore Woodford,2014-11-14,6
198,Ardmore Woodford,2014-11-21,7
199,Ardmore Woodford,2014-11-26,7
200,Ardmore Woodford,2014-12-05,7
201,Ardmore Woodford,2014-12-12,6
202,Ardmore Woodford,2014-12-19,6
203,Ardmore Woodford,2014-12-26,6
204,Ardmore Woodford,2015-01-02,6
205,Ardmore Woodford,2015-01-09,6
206,Ardmore Woodford,2015-01-16,8
207,Ardmore Woodford,2015-01-23,6
208,Ardmore Woodford,2015-01-30,6
209,Ardmore Woodford,2015-02-06,6
210,Ardmore Woodford,2015-02-13,6
211,Ardmore Woodford,2015-02-20,6
212,Ardmore Woodford,2015-02-27,6
213,Ardmore Woodford,2015-03-06,6
214,Ardmore Woodford,2015-03-13,5
215,Ardmore Woodford,2015-03-20,5
216,Ardmore Woodford,2015-03-27,4
217,Ardmore Woodford,2015-04-02,8
218,Ardmore Woodford,2015-04-10,9
219,Ardmore Woodford,2015-04-17,6
220,Ardmore Woodford,2015-04-24,6
221,Ardmore Woodford,2015-05-01,6
222,Ardmore Woodford,2015-05-08,6
223,Ardmore Woodford,2015-05-15,6
224,Ardmore Woodford,2015-05-22,6
225,Ardmore Woodford,2015-05-29,6
226,Ardmore Woodford,2015-06-05,7
227,Ardmore Woodford,2015-06-12,7
