,basins,period,value
1150,GOM&AK,2016-04-01,5
1182,GOM&AK,2016-03-01,511
1215,GOM&AK,2016-03-01,6
1281,GOM&AK,2016-02-01,491
1309,GOM&AK,2016-02-01,46
1339,GOM&AK,2016-02-01,17
1342,GOM&AK,2016-02-01,16
1356,GOM&AK,2016-01-01,18
1373,GOM&AK,2016-01-01,6
1435,GOM&AK,2015-12-01,1605
1446,GOM&AK,2015-12-01,17
1464,GOM&AK,2015-12-01,506
1478,GOM&AK,2015-12-01,5550
1531,GOM&AK,2015-11-01,1524
1598,GOM&AK,2015-10-01,5655
1606,GOM&AK,2015-10-01,479
1632,GOM&AK,2015-10-01,19
1697,GOM&AK,2015-09-01,19
1724,GOM&AK,2015-09-01,1038
1779,GOM&AK,2015-08-01,5733
1799,GOM&AK,2015-08-01,6
1816,GOM&AK,2015-08-01,1630
1839,GOM&AK,2015-08-01,408
1892,GOM&AK,2015-07-01,6
1914,GOM&AK,2015-07-01,431
1935,GOM&AK,2015-06-01,7
1971,GOM&AK,2015-06-01,24
1975,GOM&AK,2015-06-01,5572
1989,GOM&AK,2015-06-01,447
1990,GOM&AK,2015-06-01,18
1995,GOM&AK,2015-06-01,428
2034,GOM&AK,2015-05-01,1404
2042,GOM&AK,2015-05-01,5632
2073,GOM&AK,2015-05-01,63
2097,GOM&AK,2015-05-01,473
2121,GOM&AK,2015-04-01,4
2141,GOM&AK,2015-04-01,1504
2165,GOM&AK,2015-04-01,20
2186,GOM&AK,2015-03-01,5712
2259,GOM&AK,2015-03-01,1380
2275,GOM&AK,2015-02-01,19
2284,GOM&AK,2015-02-01,1456
2349,GOM&AK,2015-02-01,60
2355,GOM&AK,2015-01-01,19
2377,GOM&AK,2015-01-01,5561
2524,GOM&AK,2014-11-01,5521
2556,GOM&AK,2014-11-01,64
2596,GOM&AK,2014-11-01,6
2619,GOM&AK,2014-10-01,1120
2621,GOM&AK,2014-10-01,6
2627,GOM&AK,2014-10-01,5466
2648,GOM&AK,2014-10-01,500
2660,GOM&AK,2014-10-01,20
2779,GOM&AK,2014-08-01,398
2812,GOM&AK,2014-08-01,1435
2835,GOM&AK,2014-08-01,1020
