,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
135,2016-07-06,50%,49%,50,49,1,1
136,2016-07-04,51%,48%,51,48,3,1
137,2016-07-01,50%,48%,50,48,2,2
138,2016-06-30,50%,49%,50,49,1,1
139,2016-06-29,51%,48%,51,48,3,1
140,2016-06-28,52%,48%,52,48,4,0
141,2016-06-27,50%,49%,50,49,1,1
142,2016-06-24,50%,49%,50,49,1,1
143,2016-06-23,50%,49%,50,49,1,1
144,2016-06-22,51%,48%,51,48,3,1
145,2016-06-21,49%,50%,49,50,-1,1
146,2016-06-20,50%,49%,50,49,1,1
147,2016-06-17,50%,49%,50,49,1,1
148,2016-06-16,50%,49%,50,49,1,1
149,2016-06-15,48%,50%,48,50,-2,2
150,2016-06-14,49%,50%,49,50,-1,1
151,2016-06-13,49%,50%,49,50,-1,1
152,2016-06-10,49%,49%,49,49,0,2
153,2016-06-09,49%,50%,49,50,-1,1
154,2016-06-08,50%,49%,50,49,1,1
155,2016-06-07,51%,48%,51,48,3,1
156,2016-06-06,52%,46%,52,46,6,2
157,2016-06-03,52%,46%,52,46,6,2
158,2016-06-02,51%,48%,51,48,3,1
159,2016-06-01,51%,47%,51,47,4,2
160,2016-05-31,50%,48%,50,48,2,2
161,2016-05-30,50%,48%,50,48,2,2
162,2016-05-27,51%,48%,51,48,3,1
163,2016-05-26,51%,48%,51,48,3,1
164,2016-05-25,50%,49%,50,49,1,1
165,2016-05-24,49%,50%,49,50,-1,1
166,2016-05-23,50%,50%,50,50,0,0
167,2016-05-20,49%,50%,49,50,-1,1
168,2016-05-19,50%,49%,50,49,1,1
169,2016-05-18,49%,50%,49,50,-1,1
170,2016-05-17,49%,50%,49,50,-1,1
171,2016-05-16,49%,50%,49,50,-1,1
172,2016-05-13,50%,49%,50,49,1,1
173,2016-05-12,49%,49%,49,49,0,2
174,2016-05-11,50%,49%,50,49,1,1
175,2016-05-10,50%,49%,50,49,1,1
176,2016-05-09,50%,49%,50,49,1,1
177,2016-05-06,49%,50%,49,50,-1,1
178,2016-05-05,49%,50%,49,50,-1,1
179,2016-05-04,50%,49%,50,49,1,1
180,2016-05-03,50%,49%,50,49,1,1
181,2016-05-02,51%,48%,51,48,3,1
182,2016-04-29,50%,48%,50,48,2,2
183,2016-04-28,49%,50%,49,50,-1,1
184,2016-04-27,51%,48%,51,48,3,1
185,2016-04-26,51%,48%,51,48,3,1
186,2016-04-25,52%,47%,52,47,5,1
187,2016-04-22,51%,48%,51,48,3,1
188,2016-04-21,49%,50%,49,50,-1,1
189,2016-04-20,48%,50%,48,50,-2,2
190,2016-04-19,47%,51%,47,51,-4,2
191,2016-04-18,49%,50%,49,50,-1,1
192,2016-04-15,49%,51%,49,51,-2,0
193,2016-04-14,48%,51%,48,51,-3,1
194,2016-04-13,49%,50%,49,50,-1,1
195,2016-04-12,51%,48%,51,48,3,1
196,2016-04-11,52%,46%,52,46,6,2
197,2016-04-08,52%,46%,52,46,6,2
198,2016-04-07,50%,49%,50,49,1,1
199,2016-04-06,50%,50%,50,50,0,0
200,2016-04-05,48%,51%,48,51,-3,1
201,2016-04-04,48%,51%,48,51,-3,1
202,2016-04-01,49%,50%,49,50,-1,1
203,2016-03-31,52%,47%,52,47,5,1
204,2016-03-30,51%,48%,51,48,3,1
205,2016-03-29,49%,50%,49,50,-1,1
206,2016-03-28,49%,50%,49,50,-1,1
207,2016-03-25,49%,50%,49,50,-1,1
208,2016-03-24,50%,49%,50,49,1,1
209,2016-03-23,50%,50%,50,50,0,0
210,2016-03-22,52%,48%,52,48,4,0
211,2016-03-21,52%,47%,52,47,5,1
212,2016-03-18,51%,47%,51,47,4,2
213,2016-03-17,50%,49%,50,49,1,1
214,2016-03-16,51%,49%,51,49,2,0
215,2016-03-15,50%,50%,50,50,0,0
216,2016-03-14,51%,49%,51,49,2,0
217,2016-03-11,50%,50%,50,50,0,0
218,2016-03-10,50%,49%,50,49,1,1
219,2016-03-09,47%,51%,47,51,-4,2
220,2016-03-08,47%,51%,47,51,-4,2
221,2016-03-07,47%,52%,47,52,-5,1
222,2016-03-04,48%,51%,48,51,-3,1
223,2016-03-03,47%,51%,47,51,-4,2
224,2016-03-02,50%,49%,50,49,1,1
225,2016-03-01,50%,49%,50,49,1,1
226,2016-02-29,50%,50%,50,50,0,0
227,2016-02-26,48%,51%,48,51,-3,1
228,2016-02-25,50%,49%,50,49,1,1
229,2016-02-24,51%,48%,51,48,3,1
230,2016-02-23,51%,48%,51,48,3,1
231,2016-02-22,50%,49%,50,49,1,1
232,2016-02-19,49%,50%,49,50,-1,1
233,2016-02-18,49%,50%,49,50,-1,1
234,2016-02-17,49%,50%,49,50,-1,1
235,2016-02-16,48%,51%,48,51,-3,1
236,2016-02-15,47%,52%,47,52,-5,1
237,2016-02-12,47%,52%,47,52,-5,1
238,2016-02-11,47%,52%,47,52,-5,1
239,2016-02-10,47%,53%,47,53,-6,0
240,2016-02-09,48%,51%,48,51,-3,1
241,2016-02-08,49%,50%,49,50,-1,1
